序号,件号,条件,数量
1,66AT22-3,new,2
2,01-675-20,sv,1
3,2117342-20,sv,1
4,4051129-1,new,2
5,9DX404700-01,new,3
6,262-3500-010,new,5
7,239465,new,3
8,651-2606-001,new,3
9,767584K,sv,1
10,171-00080-403,sv,2
11,351-1392-190,new,2
12,628-7676-013,new,2
13,628-7676-016,new,8
14,628-7676-026,new,2
15,705-3519-100,new,2
16,705-3519-310,new,2
17,705-3519-570,new,2
18,705-3519-780,new,2
19,705-3535-020,new,6
20,705-3535-490,new,2
21,705-3538-230,new,2
22,834-5005-330,new,2
23,834-5005-370,new,2
24,843-9100-010,new,2
25,844-0003-010,new,6
26,849-0025-120,new,4
27,913-3279-200,new,2
28,986-2488-001,new,14
29,834-5005-380,new,2
30,831-8252-002,new,1
