PN#,Part Number,Status,RFQ Count,Vendors
1,PU90-21000-1,sent,2,AirStart Inc.(NS); EU INSPECTION & SERVICES(NE)
2,30090331-0502,sent,4,HONEYWELL AEROSPACE TRADING(NE); VICTOR  AEROSYSTEMS(NE); VISION AERONAUTICS(NE); Honeywell Aerospace Trading(NE)
3,01554028-0002,no_stock,0,
4,12105-0005,sent,1,VICTOR  AEROSYSTEMS(NE)
5,01716061-0001,sent,2,"XGF ELECTRONICS CO.,LTD(NS); VICTOR  AEROSYSTEMS(NE)"
6,00712238-0003,sent,5,"XGF ELECTRONICS CO.,LTD(NE); Muirhead Aerospace Limited(NE); M3 TECHNOLOGY(NE); AERO COMPONENTS & ELECTRONICS, LLC(NE); VICTOR  AEROSYSTEMS(NE)"
7,10610329-1056,no_stock,0,
8,69001375-001,no_stock,0,
9,1110127600,no_stock,0,
10,432009137,sent,7,"AJW Technique Inc.(NE); Aviation Inflatables LLC(NE); Affinity Aeronautical Solutions, LLC.(NE); PHS/MWA Aviation Services(NE); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE); Aero Technics FZCO(NE); Interiors Aeroservices Pty Ltd(NE)"
11,00712249-0001,sent,3,"AERONED BV(NE); AERO COMPONENTS & ELECTRONICS, LLC(NE); VICTOR  AEROSYSTEMS(NE)"
12,00712248-0001,sent,3,AERONED BV(NE); M3 TECHNOLOGY(NS); VISION AERONAUTICS(NE)
