Mahamed Ali,,Group Representative | AKG  ACQUISITION | SALE | INVESTMENT  Investment & Finance | Air  Land  Maritime Assets | Mineral  Oil & Gas   Respect All • Serve The Worthy Few • Deliver On Promises • Only Ever Tell The Truth,,https://www.linkedin.com/in/mahamed-abdikarim-ali/,2025-01-21
Andy Parker,Bostonair Group Limited,Managing Director,,https://www.linkedin.com/in/andy-parker-8218b822/,2025-01-21
Nicolas Javier Velo,,International Sales Manager,,https://www.linkedin.com/in/nicolas-javier-velo-4698b082/,2025-01-21
David Fojon,Avioparts,CEO,,https://www.linkedin.com/in/david-fojon-5b1bb92b/en/,2025-01-21
Kingsley Osazuwa,,LAME B1.3 TYPE II ICAO LICENSE ON AW139 AND S76C++ Helicopters,,https://www.linkedin.com/in/kingsley-osazuwa-9965a444/,2025-01-21
