PN#,Part Number,Status,RFQ Count,Vendors
6,262-3500-010,sent,3,"TURBO RESOURCES INT'L(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); STE INTERNATIONAL(NS)"
7,239465,sent,13,"AJW Technique Inc.(NE); British International Industries Ltd.(NE); J2 Sourcing Limited(NE); ALAMO AIRCRAFT, LTD(NS); Damex International, Inc.(NE); INTERIORS AEROSERVICES PTY LTD(NS); BURWOOD AVIATION SUPPLIES LTD(NE); EU INSPECTION & SERVICES(NE); TKSA, INC(NE); Affinity Aeronautical Solutions, LLC.(NE); AVMAX AVIATION SERVICES(NE); GMF AEROASIA(NS); BEIJING CRONDA AVIATION TECHNOLOGY CORP., LTD(NE)"
8,651-2606-001,sent,3,"J2 Sourcing Limited(NE); Muirhead Aerospace Limited(NE); AERO COMPONENTS & ELECTRONICS, LLC(NE)"
9,767584K,sent,11,"AJW Group(SV); Touchdown Aviation(SV); AerFin Ltd (Gatwick)(SV); CAPITAL AEROSPARES(OH); Aerotron Component Repair - Surplus Sales(SV); JACAERO Industries LLC(SV); Unical Aviation, Inc(SV); Ranger Air.(SV); Elliot Ward Aviation(SV); Avtrade Ltd(SV); Avion Systems, Inc.(SV)"
10,171-00080-403,sent,5,"Total Aviation Ltd. A/S.(SV); CALI AVIATION SERVICES, INC.(OH); DART AVIATION EUROPE(SV); ALTAMONT AVIATION(OH); ANKAY AVIATION GROUP(SV)"
11,351-1392-190,sent,8,Patria Netherlands Components B.V.(NE); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); SKYBUS LLC(NS); HIGH TECH AVIONICS & ACCESSORIES(NE); Planestocks LLC(NS); COMMUTER SPARES INTL(NE); NEW TECH SOURCING(NS); PRECISION AVIATION GROUP(NE)
12,628-7676-013,sent,6,"Powerturbine(NS); TURBO RESOURCES INT'L(NS); AVIONICS SPECIALIST INC(NE); SAYWELL INTERNATIONAL(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS)"
13,628-7676-016,sent,5,"AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); ROEDER PRAZISION GMBH(NS); DSC TRADING(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); NEW TECH SOURCING(NS)"
14,628-7676-026,sent,5,"PACIFIC AIR INDUSTRIES(NS); SKYBUS LLC(NS); DSC TRADING(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); NEW TECH SOURCING(NS)"
15,705-3519-100,sent,4,TURBO RESOURCES INT'L(NS); APS Air Parts Services & Supplies Ltd.(NE); Powerturbine(NS); NEW TECH SOURCING(NS)
16,705-3519-310,sent,7,"TURBO RESOURCES INT'L(NS); Unical Aviation, Inc(NS); Powerturbine(NS); Ansett Aircraft Spares & Services(NE); SKYBUS LLC(NS); AVIONICS SPECIALIST INC(NS); NEW TECH SOURCING(NS)"
17,705-3519-570,sent,4,"AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS); NEW TECH SOURCING(NS)"
18,705-3519-780,sent,10,"AJW Technique Inc.(NE); WHITE AERO INC(NS); Unical Aviation, Inc(NS); Powerturbine(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); SKYBUS LLC(NS); JACAERO Industries LLC(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); Planestocks LLC(NS); VLC AVIATION(NE)"
19,705-3535-020,sent,13,"Atlanta Air Exchange, Inc.(NS); Powerturbine(NS); Ansett Aircraft Spares & Services(NE); PDQ Airspares Ltd.(NS); TURBO RESOURCES INT'L(NS); PROFESSIONAL AIRCRAFT ACCESSORIES(NE); PACIFIC AIR INDUSTRIES(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); AVIONICS SPECIALIST INC(NE); CONTACT AVIATION LLC(NE); LEAT SRL(NE); AVIONICS PLUS(NS); Planestocks LLC(NS)"
