PN#,Part Number,Status,RFQ Count,Vendors
1,1308781-109,sent,2,"AERO COMPONENTS & ELECTRONICS, LLC(NE); SKY AIRPARTS TRADING(NE)"
2,796880-5-006,sent,3,"CAPITAL AEROSPARES(OH); First Class Air Support(SV); Unical Aviation, Inc(SV)"
3,0000612409,no_stock,0,
4,796880-60-003,sent,3,"TURBO RESOURCES INT'L(SV); Sky Lease I, Inc.(SV); British International Industries Ltd.(SV)"
5,711002-5,sent,6,"JMF Global, Inc.(OH); CAPITAL AEROSPARES(OH); Horizon Aircraft Parts.(OH); Aircraft Support & Services(SV); Avtrade Ltd(SV); Avion Systems, Inc.(OH)"
6,-999-0931,sent,1,MSI GMBH & CO KG(NE)
7,421D18A,no_stock,0,
8,E14060BD,sent,2,"Velocity Aerospace - Burbank, Inc.(NE); Global Connects, LLC(NE)"
9,9007371-1,sent,2,zwahlen co(NS); AERO CONTROLS INC.(NS)
10,424509-64,no_stock,0,
11,473939-64,no_stock,0,
12,831-6655-014,no_stock,0,
13,14403-125,sent,4,AERO-ZONE(SV); AD Aircraft Support(SV); ALLFLIGHT CORP(SV); LCLX Aviation Limited(SV)
14,A2004116,no_stock,0,
15,622-4593-507,sent,7,"CAPITAL AEROSPARES(OH); Jet Midwest, Inc.(SV); Unical Aviation, Inc(SV); TURBO RESOURCES INT'L(SV); QWEST AIR PARTS(SV); zwahlen co(SV); AERO CONTROLS INC.(SV)"
16,131-1073-02,no_match,0,
17,1902802-400,sent,4,"TURBO RESOURCES INT'L(NS); Muirhead Aerospace Limited(NE); DIGCHIP TECHNOLOGY CO., LTD(NS); MOUNTAINVIEW COMPONENTS INC(NS)"
18,4067984-400,no_stock,0,
19,7012044-212,sent,1,VICTOR  AEROSYSTEMS(NE)
20,7018314-107,no_match,0,
21,850-1058-020,no_match,0,
22,285T0384-10,no_match,0,
23,285T0385-5,sent,5,"CAPITAL AEROSPARES(OH); Jet Midwest, Inc.(SV); LIFT AEROSPACE(SV); First Class Air Support(OH); Ansett Aircraft Spares & Services(SV)"
24,835-0045-020,sent,3,AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); SKYBUS LLC(NS); HIGH TECH AVIONICS & ACCESSORIES(NE)
25,ASNE0046-0114N,sent,4,"JACAERO Industries LLC(NS); AEROSPACE PRECISION, INC(NE); GA TELESIS COMPONENT REPAIR GROUP SE(NE); VLC AVIATION(NE)"
26,D67007,sent,5,"Nordair USA, Inc.(NE); MGT Trading Inc.(NE); GA TELESIS COMPONENT REPAIR GROUP SE(NE); HARMONY AEROSPACE FRANCE(NE); VLC AVIATION(NE)"
27,Y580-02133-01-3,sent,8,"GMDC, INC(NS); JH Aviation(NE); STS Component Solutions LLC(NE); PACIFIC AIR INDUSTRIES(NS); ATX AEROPARTS(NS); VLC AVIATION(NE); NELKUHR LOGISTICS(NE); ASIA PACIFIC AIRCRAFT COMPONENT SERVICES SDN BHD(NE)"
28,26T11LN4BH2K100,sent,3,AJW Technique Inc.(NE); AERONED BV(NE); NEXT STEP COMMUNICATION INC(NE)
29,849-0006-220,sent,3,TURBO RESOURCES INT'L(NS); zwahlen co(NS); AERO CONTROLS INC.(NS)
30,844-0011-010,sent,3,"AVIONICS SPECIALIST INC(NE); AVIONICS PLUS(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE)"
31,353-8133-060,sent,8,"Pacific Southwest Instruments(NS); TURBO RESOURCES INT'L(NS); Skytrade International Enterprises.(NS); AIRCRAFT INVENTORY MANAGEMENT & SERVICES(NS); INITIAL ELECTRONICS(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE); VISION AERONAUTICS(NS); AIRFRAME REPS, LLC(NS)"
32,353-8135-020,sent,2,"Aircraft Parts Store(NS); AERO COMPONENTS & ELECTRONICS, LLC(NE)"
33,5910391,sent,4,AERONED BV(NE); 5910391(NE); SKY AIRPARTS TRADING(NE); AMERICAN AVIATION HARDWARE INC(NE)
