Part Number,Description,Condition Code,Quantity,Serial Number,Certification
4951957,"MOTOR,STARTER",SV,1,2055,
622-8001-350,(AOG)EFIS CONT PANEL,SV,1,103011,
HG1050AD09,INERTIAL REFERENCE UNIT,AR,1,93058505,
45-0083-7,Landing Light Assy,SV,1,4897,
3603281-6,IGNITION,NE,1,80218085484,CAAC+FAA
